2,1768,1
3,615,3
7,82,3
7,532,3
8,698,3
10,1693,3
11,615,1
18,1,3
18,28,3
18,1596,5
18,2008,5
18,2055,5
18,3252,5
18,3753,5
18,3915,5
19,1096,3
21,130,1
22,710,2
23,68,4
25,737,3
27,641,4
33,781,3
34,698,3
36,681,5
38,82,1
39,68,5
39,641,2
40,532,5
44,698,1
45,3106,5
46,698,1
51,517,3
51,2498,3
52,82,1
52,598,2
53,517,4
54,737,4
55,737,5
57,770,3
59,68,4
60,770,5
62,496,5
66,471,3
67,1856,2
68,1366,1
69,130,4
69,457,2
74,130,1
76,457,3
82,471,3
83,130,2
94,130,1
96,770,2
102,750,4
104,68,2
104,68,1
109,641,5
111,805,4
112,681,1
116,3753,1
117,496,3
117,532,1
119,564,3
121,564,5
121,710,1
121,781,5
126,681,4
131,496,2
136,471,5
142,598,1
151,1366,4
153,471,2
158,710,3
159,496,3
159,564,3
159,781,1
161,564,4
161,615,5
170,82,2
171,471,3
171,781,5
175,1097,4
177,598,4
178,517,4
183,641,5
183,797,4
186,681,1
187,681,4
187,1293,4
190,698,5
191,496,3
192,68,2
196,615,5
196,1768,3
197,615,3
199,737,5
200,82,4
201,641,5
202,130,2
202,737,3
204,2498,5
204,2767,1
210,3753,5
215,457,4
218,471,3
218,598,2
218,770,5
218,2398,5
219,457,3
219,532,3
219,770,2
219,1596,4
219,2008,4
219,2055,4
219,3252,4
219,3753,4
219,3915,4
220,737,2
221,564,3
221,710,2
222,750,2
223,615,1
224,457,2
224,3252,1
225,681,4
227,532,1
227,615,5
228,82,3
230,1097,3
231,598,2
238,698,3
240,517,3
241,457,5
244,698,1
244,750,4
244,1550,4
246,737,3
248,797,2
250,750,2
251,710,2
251,2654,4
256,457,1
266,532,2
293,1693,5
295,1596,1
296,496,1
301,641,4
308,770,2
310,82,4
313,28,5
313,68,5
313,532,3
313,564,3
313,598,5
313,1596,1
313,2008,1
313,2055,1
313,2498,5
313,3252,1
313,3680,5
313,3753,1
313,3915,1
319,2232,5
321,2885,4
326,781,3
328,770,5
332,3459,2
333,82,1
339,82,3
343,68,2
350,598,1
355,564,4
368,496,5
373,750,2
375,750,5
383,3753,5
388,457,2
394,598,2
399,641,2
406,1356,2
415,532,1
421,750,5
422,1366,1
428,737,2
433,3915,2
434,1096,2
450,3106,5
457,598,4
463,82,1
464,615,5
466,517,2
466,1412,5
467,781,1
478,82,2
481,457,5
485,1935,2
491,496,1
500,130,3
505,2398,5
507,698,2
519,2422,4
526,641,4
530,615,5
534,68,4
534,3390,5
536,130,2
541,68,4
541,1935,3
544,641,5
552,1293,4
565,598,4
570,805,1
571,3915,4
578,1241,5
579,770,3
579,1097,1
580,750,4
582,781,2
584,3680,1
585,496,2
587,781,5
588,3252,3
592,3680,2
594,681,5
596,681,5
597,710,5
608,1596,3
614,781,3
614,2008,1
619,3252,3
621,1550,1
647,770,1
652,3624,5
657,532,3
658,2767,5
661,3753,3
662,2654,5
663,517,2
664,517,3
670,698,1
676,3624,2
698,1412,2
698,2008,2
701,750,2
702,710,2
705,710,1
710,2422,1
723,681,2
724,737,1
733,710,5
738,641,5
738,1118,5
743,3915,1
747,564,5
748,517,1
751,130,4
761,517,4
765,3459,1
766,564,3
767,471,3
770,737,5
775,1241,5
779,532,5
780,496,3
782,471,1
787,2885,5
788,2498,5
803,68,2
812,1356,4
826,532,3
831,770,5
850,471,3
854,1118,2
863,517,1
875,641,5
882,1856,3
883,750,1
890,471,2
894,457,3
897,517,2
900,710,4
901,710,4
902,2232,3
907,457,2
912,698,1
916,3390,3
917,750,4
932,781,5
933,564,1
941,681,4
962,598,5
965,130,3
975,615,4
981,2055,5
990,82,1
